072 15251
 1711 4389 16148
 2124 4262 15655
 2479 4270 15341
 2682 4083 15815
 2220 3711 15481
 2089 4089 15289
 2451 3937 15537
 2136 3806 15554
 2484 3925 15813
 2184 3903 15730
 2316 3850 15542
 2307 3786 15379
 2565 3797 15873
 2190 3931 15712
 2504 3914 15464
 2384 3892 15539
 2267 3745 15663
 2320 3983 15847
 2339 3903 15391
 2647 3958 15612
 2505 3910 15857
 2387 3892 15583
 2339 3692 15478
 2354 3821 15636
 2195 3790 15589
 2550 3849 15797
 2591 3729 15843
 2535 3710 15498
 2246 3504 15504
 2169 3370 15633
 2345 3641 15804
 2071 3509 15641
 2065 3629 15679
 2093 3558 15782
 2099 3658 15750
 2194 3703 15565
 2127 3635 15786
 2248 3673 15733
 2101 3500 15649
 2264 3526 15687
 1839 3354 15913
 2460 3472 15733
 2285 3705 15646
 2242 3525 15623
 2060 3539 15845
 2303 3597 15750
 2333 3464 15441
 2411 3523 15560
 2475 3948 15854
 2197 3656 15435
 2133 3458 15727
 2125 3308 15776
 2180 3498 15781
 2134 3373 15846
 1954 3337 15843
 1880 3459 15869
 2478 3362 15678
 2724 3133 16101
 2147 3649 15554
 1925 2793 15256
 2138 2577 15644
 2304 2916 15761
 4182 1772 16669
 1751 2259 15987
 2845 2965 15422
 982 3603 15048
 4428 2640 15791
 3407 1830 16602
 3232 2284 16041
 3420 2652 15710
 3181 2601 15678
 2171 2723 16014
 4294 1989 16294
 753 2887 16206
 2816 4540 15692
 1337 5256 15315
 4090 3967 14438
 5371 3504 13886
 266 3624 16759
 3874 3836 15888
 3612 4967 15443
 3096 4524 15064
 1450 4580 15676
 3792 6373 15991
 5672 5988 17864
 3524 1216 15365
 1211 2878 14560
 5040 4300 16862
 1273 322 15836
 8075 2087 16317
 1135 4125 16822
 5443 3258 16044
 2700 1703 15641
 1184 -1488 15249
 2000 -3055 15428
 534 -2129 14087
 2369 -2123 15582
 860 -2185 16451
 1208 -3329 15185
 2852 -2434 14993
 1636 -1302 16578
 1572 443 17460
 2238 638 17346
 1626 1090 16537
 2220 734 16623
 3443 -282 16250
 857 443 16682
 1953 -858 15499
 271 -1133 16907
 2652 10 14886
 1898 -1174 15932
 1638 -319 16218
 3226 762 17133
 3405 -1194 15941
 3995 -479 14709
 1880 756 16032
 730 -239 16157
 4681 677 16398
 2277 608 16264
 3526 753 16151
 1562 415 16247
 3221 22 15832
 2381 888 16367
 2591 814 16020
 2362 959 15627
 2859 968 15766
 3016 1207 16156
 2671 1269 15943
 2755 1397 15999
 2523 1208 15800
 2671 1629 15632
 3344 1666 16179
 2609 2245 16832
 4692 2769 15401
 6012 1796 14517
 5541 1929 14587
 5462 2401 15558
 5397 2674 15144
 5090 1148 14813
 3438 2446 16360
 2227 1300 14745
 6967 4459 14687
 5302 4611 16669
 1316 489 16610
 3833 1577 15068
 3080 4955 16042
 8022 2823 17631
 3951 1841 16361
 376 3522 9959
 -6673 3208 13940
 194 3696 14872
 6200 2830 16857
 304 2505 16889
 3174 3162 16318
 3407 2906 16184
 2601 3458 14673
 4743 4349 15019
 3632 4425 15299
 2837 4386 15738
 3760 4146 15083
 2795 3879 15370
 3876 4100 15143
 3629 4405 14975
 4016 4327 14653
 3746 4230 13501
 2707 4286 11118
 6407 4819 11632
Repetition Start
 2986 4810 12410
 1190 6409 10942
 4413 7696 12038
 2527 6099 13011
 1183 6561 14606
 -2386 6943 16306
 -2956 1392 16245
 1431 3472 19668
 736 2272 19282
 1891 5998 20061
 3067 5551 18694
 -54 4515 23007
 -140 3516 19399
 -308 5240 17024
 81 4872 16021
 3443 9236 15079
 4012 7823 12787
 6015 7903 12494
 4689 8111 10038
 3220 5524 10284
 6020 4747 12023
 5378 2881 12493
 4337 4093 14695
Repetition End
1
 1661 5610 14555
 1215 2574 14524
 6242 4766 15727
 3047 5725 16797
 1806 12382 7570
 3285 9736 13382
 -2366 5330 13579
 4154 4941 6401
 8372 1269 8647
 -6578 6689 19795
Repetition Start
 9512 6783 15100
 -1743 7910 16147
 2178 6507 14452
 1512 5011 17962
 4402 3473 18289
 2894 5510 18779
 671 3746 19261
 1741 4582 17445
 643 2777 20738
 3728 6898 19994
 924 4884 19308
 1290 5614 17419
 2651 3972 16322
 2101 5393 16982
 4713 4733 15977
 -315 7382 12406
 3016 5818 13173
 1876 4025 11121
 3103 4205 6114
 2224 6274 9934
 5283 6374 12023
Repetition End
1
 5562 5592 10414
 6961 8592 11385
 879 6299 11233
 6368 5567 9770
Repetition Start
 4746 6677 12413
 -170 4992 13150
 1459 6625 13416
 -1312 6491 14707
 1865 6063 16255
 -1784 7443 16499
 3526 4285 19397
 4874 5448 21486
 353 3401 18126
 1377 6319 18681
 3475 5391 17338
 1388 5447 21224
 2581 6061 18590
 2666 6403 17986
 2104 5461 16262
 2248 7285 15102
 5361 6523 14765
 2575 6900 12784
 2199 8456 11877
 4716 7335 11581
 5004 7613 10681
 5644 8032 7695
 6220 7498 8226
Repetition End
1
 3298 6262 9807
 5022 7537 7106
 3469 7195 7472
 2877 7340 8705
Repetition Start
 2236 7513 11377
 4121 7778 15453
 4354 8266 16855
 5350 8674 19997
 3560 6705 19270
 392 4635 19979
 3895 5516 18697
 4215 6828 21652
 4156 5772 17954
 2626 4721 19590
 3631 6738 18457
 3076 5117 16628
 3648 5763 16123
 4041 5186 15349
 6034 7309 13607
 4358 7705 13623
 4443 6055 11989
 5177 7907 12469
Repetition End
1
 3435 6849 8335
 2856 8946 5913
 1608 6035 9456
 5611 7654 7742
 4272 6982 6179
Repetition Start
 4794 9444 8882
 3833 7852 10509
 7410 7261 11844
 5079 7928 16592
 5980 7116 15238
 4163 9736 16541
 1443 9626 18938
 3884 6732 17258
 4955 5700 19020
 5956 7499 18342
 3733 8349 15787
